Endpoint                                             Methods                        Rule
harvestsettings.set_schedule                         OPTIONS, POST                  /admin/harvestsettings/set_schedule/<id>/
identifier.action_view                               OPTIONS, POST                  /admin/identifier/action/
identifier.ajax_lookup                               GET, HEAD, OPTIONS             /admin/identifier/ajax/lookup/
identifier.ajax_update                               OPTIONS, POST                  /admin/identifier/ajax/update/
identifier.create_view                               GET, HEAD, OPTIONS, POST       /admin/identifier/new/
identifier.delete_view                               OPTIONS, POST                  /admin/identifier/delete/
identifier.details_view                              GET, HEAD, OPTIONS             /admin/identifier/details/
identifier.edit_view                                 GET, HEAD, OPTIONS, POST       /admin/identifier/edit/
identifier.export                                    GET, HEAD, OPTIONS             /admin/identifier/export/<export_type>/
identifier.index_view                                GET, HEAD, OPTIONS             /admin/identifier/
identify.action_view                                 OPTIONS, POST                  /admin/identify/action/
identify.ajax_lookup                                 GET, HEAD, OPTIONS             /admin/identify/ajax/lookup/
identify.ajax_update                                 OPTIONS, POST                  /admin/identify/ajax/update/
identify.create_view                                 GET, HEAD, OPTIONS, POST       /admin/identify/new/
identify.delete_view                                 OPTIONS, POST                  /admin/identify/delete/
identify.details_view                                GET, HEAD, OPTIONS             /admin/identify/details/
identify.edit_view                                   GET, HEAD, OPTIONS, POST       /admin/identify/edit/
identify.export                                      GET, HEAD, OPTIONS             /admin/identify/export/<export_type>/
identify.index_view                                  GET, HEAD, OPTIONS             /admin/identify/
inclusionrequest.action_view                         OPTIONS, POST                  /admin/inclusionrequest/action/
inclusionrequest.ajax_lookup                         GET, HEAD, OPTIONS             /admin/inclusionrequest/ajax/lookup/
inclusionrequest.ajax_update                         OPTIONS, POST                  /admin/inclusionrequest/ajax/update/
inclusionrequest.create_view                         GET, HEAD, OPTIONS, POST       /admin/inclusionrequest/new/
inclusionrequest.delete_view                         OPTIONS, POST                  /admin/inclusionrequest/delete/
inclusionrequest.details_view                        GET, HEAD, OPTIONS             /admin/inclusionrequest/details/
inclusionrequest.edit_view                           GET, HEAD, OPTIONS, POST       /admin/inclusionrequest/edit/
inclusionrequest.export                              GET, HEAD, OPTIONS             /admin/inclusionrequest/export/<export_type>/
inclusionrequest.index_view                          GET, HEAD, OPTIONS             /admin/inclusionrequest/
indexedit.index                                      GET, HEAD, OPTIONS             /admin/indexedit/
indexedit.index                                      GET, HEAD, OPTIONS             /admin/indexedit/<int:index_id>
indexedit.upload_image                               OPTIONS, POST                  /admin/indexedit/upload
indexjournal.get_journal_by_index_id                 GET, HEAD, OPTIONS             /admin/indexjournal/index/<int:index_id>
indexjournal.get_json_schema                         GET, HEAD, OPTIONS             /admin/indexjournal/jsonschema
indexjournal.get_schema_form                         GET, HEAD, OPTIONS             /admin/indexjournal/schemaform
indexjournal.index                                   GET, HEAD, OPTIONS             /admin/indexjournal/
indexjournal.index                                   GET, HEAD, OPTIONS             /admin/indexjournal/<int:index_id>
indexlink.index                                      GET, HEAD, OPTIONS, POST       /admin/indexlink/
invenio_accounts.revoke_session                      OPTIONS, POST                  /account/settings/sessions/revoke/
invenio_accounts.security                            GET, HEAD, OPTIONS             /account/settings/security/
invenio_accounts.static                              GET, HEAD, OPTIONS             /account/settings/static/<path:filename>
invenio_app_ping.ping                                GET, HEAD, OPTIONS             /ping
invenio_communities.community_list                   GET, HEAD, OPTIONS             /c/list/
invenio_communities.static                           GET, HEAD, OPTIONS             /c/static/<path:filename>
invenio_communities.view                             GET, HEAD, OPTIONS             /c/<string:community_id>/
invenio_deposit_ui.depid                             GET, HEAD, OPTIONS             /item/edit/<pid_value>
invenio_deposit_ui.iframe_depid                      GET, HEAD, OPTIONS             /item/iframe/edit/<pid_value>
invenio_deposit_ui.index                             GET, HEAD, OPTIONS             /deposit
